resample,fb_multiplier,greedy_net_r,f1_net_r,greedy_net_0,f1_net_0,nominal_gain_ils,honest_gain_ils,nominal_gain_pct,honest_gain_pct
120,1.0,19671263.37699648,20201035.892372373,18500811.52265893,19027352.03996453,529772.5153758936,526540.5173056014,2.6931290849138243,2.8460401137578164
121,1.0,17758980.286621157,18267067.11506304,18507730.875170626,19110859.217983805,508086.82844188437,603128.3428131789,2.86101352803829,3.258791403879319
122,1.0,17172450.63073306,17631958.23604662,17981484.927783918,18656715.530073807,459507.60531355813,675230.602289889,2.6758417607047305,3.7551437214540773
123,1.0,17427887.00969248,17960540.374469087,18247830.569021605,18949356.578941226,532653.3647766076,701526.009919621,3.0563278524836295,3.8444351358158997
124,1.0,19373010.68103372,19800044.901880328,18760260.26477781,19174198.806759704,427034.2208466083,413938.5419818945,2.2042739142485326,2.206464815198005
125,1.0,18304534.20341624,18792050.038067363,18503249.428478364,19074169.620018434,487515.83465112373,570920.1915400699,2.6633610516029242,3.085513135121911
126,1.0,18574210.1702829,19041084.031135634,18633154.20771338,19120410.10087796,466873.86085273325,487255.8931645788,2.513559696873089,2.614994153608595
127,1.0,20052522.004872307,20490210.24786531,18707574.41814235,19109995.70733943,437688.2429930046,402421.28919707984,2.182709201798439,2.1511141968614447
128,1.0,18407127.03817587,18848515.525289416,18397066.19170119,18969447.404419463,441388.4871135466,572381.2127182744,2.397921664788422,3.111263539272758
129,1.0,18372066.596911576,18866931.27162609,18573846.38815366,19120695.636492245,494864.6747145131,546849.2483385839,2.6935710912222692,2.9441895712422954
130,1.0,18257440.00866205,18716864.93318474,18421886.090072155,18989843.54002514,459424.9245226905,567957.4499529861,2.516370993440051,3.0830580928359304
131,1.0,18155068.369497217,18691995.64150547,18550787.019123007,19151946.876711193,536927.2720082514,601159.8575881869,2.957451115471183,3.2406164599296168
132,1.0,18672412.787382223,19144066.62787443,18633154.20771338,19120410.10087796,471653.84049220756,487255.8931645788,2.525939448012444,2.614994153608595
133,1.0,18969181.297096074,19428688.673330344,18668593.1109404,19142576.65655224,459507.37623427063,473983.54561183974,2.4223890796205056,2.5389355416079535
134,1.0,19166471.33450472,19628726.17416255,18416900.26269654,18962951.763486687,462254.83965783194,546051.5007901452,2.4117889599513864,2.964947917409171
135,1.0,18349951.682900116,18807358.110377632,18646540.933185805,19164377.475297082,457406.42747751623,517836.5421112776,2.492684642345748,2.7771185227693813
136,1.0,18202582.08522934,18643239.086440705,18551750.24685112,19071895.44857076,440657.0012113638,520145.2017196417,2.42084886170594,2.8037527176603105
137,1.0,17987467.377730094,18498406.45898983,18458987.865097433,19062116.207910616,510939.0812597349,603128.3428131826,2.8405281884892695,3.267396604954641
138,1.0,18866281.961030416,19309864.233449202,18660249.488779508,19134233.034391347,443582.27241878584,473983.54561183974,2.3511907292334286,2.540070784674386
