Unnamed: 0,Campaign,Channel,Last_dt,Start time,Duration,Spot type,Promotion,Pos. Block 1,Spots Block 1,Title,TVR,Date_dt,Start_dt,End_dt,hour_of_day,quarter_id,advertiser_id,break_id,position_in_break,channel,base_rate,prime_premium,pos1,pos2,pos3,pos_last,adv_premium,position_premium,total_premium,revenue_ils,is_target_channel,include_as_media,competitor_flag
121,2024-10 - קרביץ — קרביץ- מבצע סטודנטים,קשת 12,02/11/2024,,8,פרסומת,ספוט,8,10,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
122,2024-05 - משולחן לשולחן לקט ישראל - לקט ישראל,קשת 12,02/11/2024,,20,פרסומת,ספוט,9,10,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
123,2024-10 - צ׳רי - צ'רי — חשמלית סנס,קשת 12,02/11/2024,,28,פרסומת,ספוט,99,10,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
124,2024-10 - דלק מוטורס - ב.מ.וו — ימי מכירות אחרונים BMW,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
125,2024-10 - גוגל — - שופינג איי אל,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
126,2024-10 - צ׳רי - צ'רי — חשמלית סנס,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
127,2024-10 - דלק מוטורס - ב.מ.וו — ימי מכירות אחרונים BMW,קשת 12,02/11/2024,,7,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
128,2024-10 - גוגל — - שופינג איי אל,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
129,2024-10 - צ׳רי - צ'רי — חשמלית סנס,קשת 12,02/11/2024,,6,חסות,ספוט,0,0,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
130,פ-ארץ נהדרת עונה 22,קשת 12,02/11/2024,,43,פרומו,פרומו,0,0,,,,,,,,פ,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
131,פ-רותם אבוהב סטנדאפ ילדים זה מצחיק,קשת 12,02/11/2024,,32,פרומו,פרומו,0,0,,,,,,,,פ,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
132,2024-02 - אול'גובס - אולג'ובס — קמפיין מחפשי עבודה - פברואר,קשת 12,02/11/2024,,25,פרסומת,ספוט,1,11,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
133,2024-10 - גוגל — - שופינג איי אל,קשת 12,02/11/2024,,15,פרסומת,ספוט,2,11,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
134,"2024-10 - קופ""ח מאוחדת - מאוחדת — מאוחדת ג'וניור",קשת 12,02/11/2024,,38,פרסומת,ספוט,3,11,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
135,2024-10 -  מיקסקארד,קשת 12,02/11/2024,,14,פרסומת,ספוט,4,11,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
136,מאקו תדמית (אוקטובר 2024),קשת 12,02/11/2024,,26,פרסומת,ספוט,5,11,,,,,,,,מאקו,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
137,2024-10 -  מנו ספנות,קשת 12,02/11/2024,,20,פרסומת,ספוט,6,11,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
138,2024-10 - פרי טיוי — מוקדנית 2,קשת 12,02/11/2024,,55,פרסומת,ספוט,7,11,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
139,מאקו תדמית (אוקטובר 2024),קשת 12,02/11/2024,,12,פרסומת,ספוט,8,11,,,,,,,,מאקו,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
140,2024-07 - שסטוביץ' - ריו מרה — ריו מרה אינסלטיסמה,קשת 12,02/11/2024,,15,פרסומת,ספוט,9,11,,,,,,,,2024,,,קשת 12,50,0.5,1.2,1.1,1.05,1.25,1,,,,TRUE,TRUE,FALSE
