channel,daypart,len_bin,len_min,straddle_qh,n_qh_windows,B_content,inbreak_tvr,billed_qh,dilution,dip_frac,n_content_minutes
כאן 11,late_evening,<1m,0.8,0,1,3.8666666666666663,2.8499999999999996,4.04,1.0448275862068968,0.2629310344827587,27
כאן 11,late_evening,4-6m,4.016666666666667,1,2,4.226923076923077,3.2800000000000002,3.990666666666667,0.9441067637245981,0.22402183803457687,26
כאן 11,late_evening,3-4m,3.966666666666667,1,2,3.3999999999999995,3.0,3.3546666666666667,0.9866666666666668,0.11764705882352933,26
כאן 11,late_evening,3-4m,3.433333333333333,0,1,2.83,3.4,3.1,1.0954063604240283,-0.20141342756183733,30
כאן 11,late_evening,2-3m,2.15,0,1,1.8533333333333333,1.5,1.6866666666666665,0.9100719424460432,0.19064748201438841,30
כאן 11,late_evening,2-3m,2.5,0,1,1.1099999999999997,1.125,1.16,1.0450450450450453,-0.01351351351351382,30
כאן 11,overnight,2-3m,2.066666666666667,0,1,0.9413793103448278,1.5,1.0200000000000002,1.0835164835164834,-0.5934065934065931,29
כאן 11,overnight,2-3m,2.466666666666667,0,1,0.6066666666666669,0.6,0.5999999999999999,0.9890109890109884,0.010989010989011394,30
כאן 11,overnight,1-2m,1.8166666666666669,0,1,0.3666666666666668,0.3,0.3533333333333333,0.9636363636363631,0.1818181818181822,30
כאן 11,overnight,1-2m,1.8166666666666669,0,1,0.24074074074074078,0.2,0.2533333333333334,1.0523076923076924,0.1692307692307693,27
כאן 11,overnight,1-2m,1.95,0,1,0.21428571428571433,0.20000000000000004,0.20000000000000007,0.9333333333333335,0.06666666666666665,28
כאן 11,overnight,2-3m,2.1166666666666667,0,1,0.20000000000000007,0.20000000000000004,0.20000000000000007,1.0,1.1102230246251565e-16,30
כאן 11,overnight,2-3m,2.1166666666666667,1,2,0.11538461538461539,0.0,0.07555555555555556,0.6548148148148147,1.0,26
כאן 11,overnight,2-3m,2.1166666666666667,1,2,0.24444444444444444,0.0,0.12166666666666667,0.4977272727272728,1.0,27
כאן 11,overnight,1-2m,1.0666666666666669,0,1,0.39999999999999986,0.35,0.47333333333333333,1.1833333333333338,0.12499999999999978,30
כאן 11,overnight,1-2m,1.8833333333333333,0,1,0.006666666666666667,0.0,0.0,0.0,1.0,30
כאן 11,overnight,2-3m,2.05,0,1,0.11851851851851854,0.0,0.02666666666666667,0.22499999999999998,1.0,27
כאן 11,morning,2-3m,2.0166666666666666,0,1,0.24333333333333343,0.10000000000000002,0.12666666666666668,0.5205479452054793,0.5890410958904111,30
כאן 11,morning,2-3m,2.1166666666666667,0,1,0.20000000000000004,0.10000000000000002,0.07333333333333333,0.3666666666666666,0.5,30
כאן 11,morning,1-2m,1.0666666666666669,0,1,0.6766666666666666,0.9,0.7933333333333334,1.1724137931034484,-0.330049261083744,30
כאן 11,morning,<1m,1.0,0,1,0.9266666666666669,1.1,0.8866666666666664,0.9568345323741002,-0.18705035971223016,30
כאן 11,morning,1-2m,1.0666666666666669,0,1,0.9166666666666666,1.05,0.98,1.069090909090909,-0.1454545454545455,30
כאן 11,morning,<1m,0.7333333333333333,0,1,1.243333333333333,1.2999999999999998,1.2666666666666666,1.0187667560321718,-0.045576407506702665,30
כאן 11,morning,1-2m,1.0833333333333333,0,1,0.7833333333333332,0.9,0.7599999999999999,0.9702127659574469,-0.14893617021276606,30
כאן 11,afternoon,2-3m,2.0166666666666666,0,1,0.4933333333333333,0.4000000000000001,0.4666666666666668,0.9459459459459463,0.18918918918918892,30
כאן 11,afternoon,2-3m,2.7666666666666666,1,2,0.5800000000000001,0.6749999999999999,0.6,1.0344827586206895,-0.16379310344827558,30
כאן 11,afternoon,2-3m,2.5166666666666666,0,1,0.36153846153846153,0.3,0.3066666666666666,0.8482269503546097,0.17021276595744683,26
כאן 11,afternoon,2-3m,2.2666666666666666,1,2,0.2074074074074074,0.225,0.2133333333333333,1.0285714285714285,-0.0848214285714286,27
כאן 11,afternoon,2-3m,2.6333333333333333,0,1,0.12666666666666668,0.175,0.15333333333333335,1.2105263157894737,-0.3815789473684208,30
כאן 11,afternoon,1-2m,1.7166666666666666,0,1,0.18965517241379307,0.20000000000000004,0.22666666666666666,1.1951515151515153,-0.0545454545454549,29
כאן 11,afternoon,2-3m,2.5166666666666666,0,1,0.15517241379310345,0.3,0.22000000000000003,1.417777777777778,-0.9333333333333331,29
כאן 11,afternoon,2-3m,2.3,0,1,0.23666666666666664,0.5,0.2733333333333333,1.1549295774647887,-1.1126760563380285,30
כאן 11,afternoon,2-3m,2.3833333333333333,0,1,0.6758620689655171,0.8250000000000001,0.7933333333333332,1.1738095238095239,-0.22066326530612268,29
כאן 11,afternoon,1-2m,1.7666666666666666,0,1,0.6586206896551723,0.6333333333333333,0.6866666666666666,1.042582897033159,0.038394415357766,29
כאן 11,afternoon,2-3m,2.1333333333333333,0,1,0.38333333333333325,0.3333333333333333,0.3600000000000001,0.9391304347826092,0.13043478260869545,30
כאן 11,early_evening,2-3m,2.45,0,1,0.8666666666666667,0.7333333333333334,0.9333333333333332,1.0769230769230769,0.15384615384615385,27
כאן 11,early_evening,2-3m,2.3666666666666667,0,1,1.1888888888888889,1.2666666666666666,0.9333333333333332,0.7850467289719626,-0.06542056074766345,27
כאן 11,early_evening,2-3m,2.8,0,1,1.8933333333333333,1.7333333333333334,1.8333333333333337,0.9683098591549297,0.08450704225352113,30
כאן 11,early_evening,2-3m,2.6666666666666665,0,1,2.76,2.3000000000000003,2.586666666666667,0.9371980676328504,0.16666666666666652,30
