cap,fill,L,offset,billed_per_break_minute,mean_affected_windows,n_affected_windows,end_offset_in_window
as_measured,recovered,5,12,0.9935419814879968,0.9934844858436155,2,1
as_measured,recovered,5,13,0.9927181980742861,0.9934844858436154,2,2
as_measured,recovered,5,14,0.9897443644430494,0.9934844858436154,2,3
as_measured,recovered,6,0,0.9750058506129212,0.9750058506129212,1,5
as_measured,recovered,6,1,0.9733757589656898,0.9733757589656898,1,6
as_measured,recovered,6,2,0.9723235243762166,0.9723235243762166,1,7
as_measured,recovered,6,3,0.971164801348818,0.971164801348818,1,8
as_measured,recovered,6,4,0.9700600839774199,0.97006008397742,1,9
as_measured,recovered,6,5,0.9700515325467846,0.9700515325467846,1,10
as_measured,recovered,6,6,0.9699596227291369,0.9699596227291369,1,11
as_measured,recovered,6,7,0.9710721228839692,0.9710721228839692,1,12
as_measured,recovered,6,8,0.972887860738049,0.972887860738049,1,13
as_measured,recovered,6,9,0.9763517170459951,0.9763517170459951,1,14
as_measured,recovered,6,10,0.9836052938523742,0.9888839549854691,2,0
as_measured,recovered,6,11,0.9879647390719205,0.9888839549854692,2,1
as_measured,recovered,6,12,0.9888839549854692,0.9888839549854691,2,2
as_measured,recovered,6,13,0.9865997887840418,0.9888839549854691,2,3
as_measured,recovered,6,14,0.9820203229876423,0.9888839549854691,2,4
