channel,channel_name,program_type,break_position,break_length,daypart,date,hour,len_min,break_seconds,num_spots,shed,log_effect,observed_ratio,expected_ratio,ordinal,first_break,prog_key,cluster,start_min
כאן 11,News_middle_standard,News,middle,standard,afternoon,2024-11-03,15,1.6,96.0,3,-0.34556878822810866,0.34556878822810866,1.4444444444444446,1.0224032586558047,1.0,1,"('כאן 11', '2024-11-03', 51)","('כאן 11', '2024-11-03', 51)",2024-11-03 15:29:00
כאן 11,News_last_standard,News,last,standard,afternoon,2024-11-03,15,2.4166666666666665,145.0,5,-0.09279083350147177,0.09279083350147177,1.2500000000000002,1.1392301392301392,2.0,0,"('כאן 11', '2024-11-03', 51)","('כאן 11', '2024-11-03', 51)",2024-11-03 15:53:00
כאן 11,Other_first_standard,Other,first,standard,afternoon,2024-11-03,16,1.8,108.0,6,-0.2253308637350796,0.2253308637350796,1.1379310344827587,0.908355795148248,1.0,1,"('כאן 11', '2024-11-03', 54)","('כאן 11', '2024-11-03', 54)",2024-11-03 16:07:00
כאן 11,Other_last_standard,Other,last,standard,afternoon,2024-11-03,16,2.35,141.0,5,0.12522591956346185,-0.12522591956346185,1.0,1.1334044823906082,2.0,0,"('כאן 11', '2024-11-03', 54)","('כאן 11', '2024-11-03', 54)",2024-11-03 16:35:00
כאן 11,News_first_standard,News,first,standard,early_evening,2024-11-03,17,1.9166666666666667,115.0,8,0.39246697490577687,-0.39246697490577687,0.693877551020408,1.027375201288245,1.0,1,"('כאן 11', '2024-11-03', 58)","('כאן 11', '2024-11-03', 58)",2024-11-03 17:12:00
כאן 11,News_first_standard,News,first,standard,early_evening,2024-11-03,17,2.2333333333333334,134.0,7,0.27591580375998837,-0.27591580375998837,0.8378378378378377,1.1040498442367601,2.0,0,"('כאן 11', '2024-11-03', 58)","('כאן 11', '2024-11-03', 58)",2024-11-03 17:36:00
כאן 11,News_middle_standard,News,middle,standard,early_evening,2024-11-03,18,1.6666666666666667,100.0,4,-0.0689170248488176,0.0689170248488176,1.0666666666666669,0.995631067961165,3.0,0,"('כאן 11', '2024-11-03', 58)","('כאן 11', '2024-11-03', 58)",2024-11-03 18:14:00
כאן 11,News_last_standard,News,last,standard,early_evening,2024-11-03,18,2.3333333333333335,140.0,7,0.23275696430953585,-0.23275696430953585,0.8125,1.0254357041921809,4.0,0,"('כאן 11', '2024-11-03', 58)","('כאן 11', '2024-11-03', 58)",2024-11-03 18:25:00
כאן 11,Other_first_standard,Other,first,standard,late_evening,2024-11-03,21,2.8,168.0,7,-0.040274301375084656,0.040274301375084656,0.9915966386554622,0.9524542829643888,1.0,1,"('כאן 11', '2024-11-03', 68)","('כאן 11', '2024-11-03', 68)",2024-11-03 21:43:00
כאן 11,Other_last_long,Other,last,long,late_evening,2024-11-03,22,3.433333333333333,206.0,8,0.09072510970709602,-0.09072510970709602,0.8590604026845639,0.9406436233611443,2.0,0,"('כאן 11', '2024-11-03', 68)","('כאן 11', '2024-11-03', 68)",2024-11-03 22:19:00
כאן 11,Other_middle_long,Other,middle,long,late_evening,2024-11-03,22,3.5833333333333335,215.0,7,0.493834778066544,-0.493834778066544,0.5789473684210527,0.9486560992419021,1.0,1,"('כאן 11', '2024-11-03', 71)","('כאן 11', '2024-11-03', 71)",2024-11-03 22:51:00
כאן 11,Other_first_standard,Other,first,standard,late_evening,2024-11-03,23,2.2666666666666666,136.0,6,0.27319347278820294,-0.27319347278820294,0.7466666666666666,0.9812353401094606,1.0,1,"('כאן 11', '2024-11-03', 73)","('כאן 11', '2024-11-03', 73)",2024-11-03 23:04:00
כאן 11,News_last_standard,News,last,standard,late_evening,2024-11-03,23,2.2333333333333334,134.0,3,0.40684391525308,-0.40684391525308,0.5967741935483872,0.8963963963963966,1.0,1,"('כאן 11', '2024-11-03', 75)","('כאן 11', '2024-11-03', 75)",2024-11-03 23:40:00
כאן 11,PrimeShow2_first_short,PrimeShow2,first,short,late_evening,2024-11-03,23,0.3,18.0,3,0.5445245117349642,-0.5445245117349642,0.5813953488372093,1.0022026431718063,1.0,1,"('כאן 11', '2024-11-03', 77)","('כאן 11', '2024-11-03', 77)",2024-11-03 23:50:00
כאן 11,Other_first_standard,Other,first,standard,overnight,2024-11-04,0,2.6333333333333333,158.0,6,-0.25013309323507477,0.25013309323507477,1.2272727272727273,0.9556737588652484,1.0,1,"('כאן 11', '2024-11-04', 0)","('כאן 11', '2024-11-04', 0)",2024-11-04 00:10:00
