prog_key,n_breaks,total_seconds,channel,program_type,hour,day,daypart,total_minutes_rounded,n_meas,total_shed,mean_len,n_keyed,fully_measured
"('כאן 11', '2024-11-09', 2)",2,220.0,כאן 11,Other,1,2024-11-09,overnight,4,2.0,-0.20367153734978202,1.8333333333333335,2,True
"('כאן 11', '2024-11-09', 5)",1,109.0,כאן 11,Other,1,2024-11-09,overnight,2,1.0,-0.06050994949247429,1.8166666666666667,1,True
"('כאן 11', '2024-11-09', 7)",1,120.0,כאן 11,Other,2,2024-11-09,overnight,2,1.0,0.03581403347530595,2.0,1,True
"('כאן 11', '2024-11-09', 9)",2,177.0,כאן 11,Other,2,2024-11-09,overnight,3,2.0,0.1713617871666178,1.475,2,True
"('כאן 11', '2024-11-09', 12)",2,287.0,כאן 11,Other,3,2024-11-09,overnight,5,2.0,-0.16626056014678064,2.3916666666666666,2,True
"('כאן 11', '2024-11-09', 15)",2,165.0,כאן 11,Other,4,2024-11-09,overnight,3,2.0,0.4333369920279222,1.375,2,True
"('כאן 11', '2024-11-09', 21)",1,128.0,כאן 11,Other,5,2024-11-09,overnight,2,1.0,-0.032039353744616306,2.1333333333333333,1,True
"('כאן 11', '2024-11-09', 24)",2,271.0,כאן 11,Other,7,2024-11-09,morning,5,2.0,0.22564825569532174,2.2583333333333333,2,True
"('כאן 11', '2024-11-09', 27)",2,265.0,כאן 11,Other,7,2024-11-09,morning,4,2.0,0.06539361927752291,2.2083333333333335,2,True
"('כאן 11', '2024-11-09', 30)",2,320.0,כאן 11,Other,9,2024-11-09,morning,5,2.0,-0.8265445432407175,2.666666666666667,2,True
"('כאן 11', '2024-11-09', 39)",2,300.0,כאן 11,PrimeShow1,12,2024-11-09,afternoon,5,2.0,0.13328141684013817,2.5,2,True
"('כאן 11', '2024-11-09', 43)",2,274.0,כאן 11,Other,13,2024-11-09,afternoon,5,2.0,0.10733288389130069,2.283333333333333,2,True
"('כאן 11', '2024-11-09', 53)",1,132.0,כאן 11,Other,14,2024-11-09,afternoon,2,1.0,-0.3820592796044973,2.2,1,True
"('כאן 11', '2024-11-09', 57)",1,142.0,כאן 11,PrimeShow1,15,2024-11-09,afternoon,2,1.0,0.3533164841099889,2.3666666666666667,1,True
"('כאן 11', '2024-11-09', 59)",1,209.0,כאן 11,Other,15,2024-11-09,afternoon,3,1.0,-0.23367908412594218,3.4833333333333334,1,True
"('כאן 11', '2024-11-09', 61)",4,532.0,כאן 11,Other,16,2024-11-09,afternoon,9,4.0,0.581186495156506,2.216666666666667,4,True
