channel,channel_name,start_min,end_min,break_seconds,len_min,num_spots,program_type,break_position,break_length,ordinal,prog_key,gap_prev_min,gap_next_min,measured,title,shed
כאן 11,Other_middle_standard,2024-11-25 01:28:00,2024-11-25 01:31:00,170.0,2.8333333333333335,4,Other,middle,standard,1.0,"('כאן 11', '2024-11-25', 7)",28.0,39.0,1,סיפורים מהכורסה עונה 2 ש.ח,-0.03836086787244637
כאן 11,Other_middle_standard,2024-11-25 02:10:00,2024-11-25 02:12:00,123.0,2.05,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-25', 10)",39.0,44.0,1,סוכן תרבות ש.ח,0.656625074764754
כאן 11,Other_middle_standard,2024-11-25 02:56:00,2024-11-25 02:58:00,131.0,2.183333333333333,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-25', 12)",44.0,17.0,1,"המו""לים ש.ח",-0.9476205820150724
כאן 11,Other_last_standard,2024-11-25 03:15:00,2024-11-25 03:16:00,97.0,1.6166666666666667,3,Other,last,standard,2.0,"('כאן 11', '2024-11-25', 12)",17.0,44.0,1,"המו""לים ש.ח",-0.5559498448244282
כאן 11,Other_middle_standard,2024-11-25 04:00:00,2024-11-25 04:02:00,107.0,1.7833333333333334,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-25', 17)",44.0,20.0,0,,
כאן 11,Other_last_standard,2024-11-25 04:22:00,2024-11-25 04:24:00,112.0,1.8666666666666667,3,Other,last,standard,2.0,"('כאן 11', '2024-11-25', 17)",20.0,49.0,0,,
כאן 11,Other_middle_standard,2024-11-25 05:13:00,2024-11-25 05:14:00,95.0,1.5833333333333333,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-25', 21)",49.0,23.0,0,,
כאן 11,Other_last_standard,2024-11-25 05:37:00,2024-11-25 05:40:00,143.0,2.3833333333333333,3,Other,last,standard,2.0,"('כאן 11', '2024-11-25', 21)",23.0,403.0,0,,
כאן 11,PrimeShow1_middle_standard,2024-11-25 12:23:00,2024-11-25 12:25:00,125.0,2.0833333333333335,3,PrimeShow1,middle,standard,1.0,"('כאן 11', '2024-11-25', 30)",403.0,18.0,1,חברים מופלאים ש.ח,-0.03359489055571751
כאן 11,PrimeShow1_last_standard,2024-11-25 12:43:00,2024-11-25 12:45:00,163.0,2.716666666666667,4,PrimeShow1,last,standard,2.0,"('כאן 11', '2024-11-25', 30)",18.0,44.0,1,חברים מופלאים ש.ח,0.37166437812939773
כאן 11,Other_middle_standard,2024-11-25 13:29:00,2024-11-25 13:31:00,125.0,2.0833333333333335,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-25', 35)",44.0,14.0,1,הטיול הגדול - The Great Way ש.ח,0.09305102118653705
כאן 11,Other_last_standard,2024-11-25 13:45:00,2024-11-25 13:47:00,118.0,1.9666666666666666,4,Other,last,standard,2.0,"('כאן 11', '2024-11-25', 35)",14.0,34.0,1,הטיול הגדול - The Great Way ש.ח,0.08885333735569134
כאן 11,PrimeShow1_middle_standard,2024-11-25 14:21:00,2024-11-25 14:24:00,162.0,2.7,5,PrimeShow1,middle,standard,1.0,"('כאן 11', '2024-11-25', 39)",34.0,34.0,1,הבלתי חשובים ש.ח,0.4205612467746606
כאן 11,Other_first_short,2024-11-25 14:58:00,2024-11-25 15:00:00,89.0,1.4833333333333334,3,Other,first,short,1.0,"('כאן 11', '2024-11-25', 42)",34.0,36.0,1,,-0.2876820724517808
כאן 11,Other_middle_short,2024-11-25 15:36:00,2024-11-25 15:37:00,40.0,0.6666666666666666,2,Other,middle,short,1.0,"('כאן 11', '2024-11-25', 47)",36.0,34.0,1,סיפורים מהכורסה עונה 2 ש.ח,-0.1982320197448776
כאן 11,Other_first_standard,2024-11-25 16:11:00,2024-11-25 16:13:00,149.0,2.4833333333333334,6,Other,first,standard,1.0,"('כאן 11', '2024-11-25', 50)",34.0,16.0,1,משחקי הכיס עם ליאל קייזר,-0.11818752921758063
כאן 11,Other_middle_standard,2024-11-25 16:29:00,2024-11-25 16:32:00,165.0,2.75,7,Other,middle,standard,2.0,"('כאן 11', '2024-11-25', 50)",16.0,45.0,1,משחקי הכיס עם ליאל קייזר,-0.12561266068644186
כאן 11,News_middle_standard,2024-11-25 17:17:00,2024-11-25 17:20:00,177.0,2.95,8,News,middle,standard,1.0,"('כאן 11', '2024-11-25', 53)",45.0,26.0,1,העולם היום,0.0436307474877588
כאן 11,News_last_standard,2024-11-25 17:46:00,2024-11-25 17:49:00,147.0,2.45,7,News,last,standard,2.0,"('כאן 11', '2024-11-25', 53)",26.0,22.0,1,העולם היום,0.13318041375719325
כאן 11,News_first_standard,2024-11-25 18:11:00,2024-11-25 18:14:00,154.0,2.566666666666667,7,News,first,standard,1.0,"('כאן 11', '2024-11-25', 57)",22.0,18.0,1,כאן בשש,0.4036695396131326
כאן 11,News_middle_standard,2024-11-25 18:32:00,2024-11-25 18:35:00,162.0,2.7,6,News,middle,standard,2.0,"('כאן 11', '2024-11-25', 57)",18.0,173.0,1,כאן בשש,-0.5703365951258019
כאן 11,News_last_short,2024-11-25 21:28:00,2024-11-25 21:29:00,58.0,0.9666666666666667,3,News,last,short,1.0,"('כאן 11', '2024-11-25', 61)",173.0,1.0,0,,
כאן 11,News_last_short,2024-11-25 21:30:00,2024-11-25 21:31:00,55.0,0.9166666666666666,3,News,last,short,2.0,"('כאן 11', '2024-11-25', 61)",1.0,47.0,0,,
כאן 11,PrimeShow2_last_long,2024-11-25 22:18:00,2024-11-25 22:22:00,215.0,3.5833333333333335,11,PrimeShow2,last,long,1.0,"('כאן 11', '2024-11-25', 63)",47.0,8.0,1,זמן אמת עונה 8,-0.019622888973093992
כאן 11,Other_first_standard,2024-11-25 22:30:00,2024-11-25 22:32:00,160.0,2.6666666666666665,9,Other,first,standard,1.0,"('כאן 11', '2024-11-25', 65)",8.0,13.0,1,,0.09367689894934013
כאן 11,Other_first_standard,2024-11-25 22:45:00,2024-11-25 22:48:00,170.0,2.8333333333333335,8,Other,first,standard,1.0,"('כאן 11', '2024-11-25', 67)",13.0,26.0,1,,-0.08404679723642264
כאן 11,News_last_standard,2024-11-25 23:14:00,2024-11-25 23:16:00,143.0,2.3833333333333333,7,News,last,standard,1.0,"('כאן 11', '2024-11-25', 68)",26.0,19.0,1,חדשות הלילה עם עקיבא נוביק,0.1949782203875021
כאן 11,Other_first_short,2024-11-25 23:35:00,2024-11-25 23:35:00,18.0,0.3,3,Other,first,short,1.0,"('כאן 11', '2024-11-25', 71)",19.0,34.0,1,חייה ומותה של טטיאנה חייקין,0.2657307363482459
כאן 11,Other_first_long,2024-11-26 00:09:00,2024-11-26 00:12:00,190.0,3.1666666666666665,6,Other,first,long,1.0,"('כאן 11', '2024-11-26', 0)",34.0,40.0,1,,0.14826484764999717
כאן 11,Other_middle_standard,2024-11-26 00:52:00,2024-11-26 00:54:00,112.0,1.8666666666666667,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-26', 1)",40.0,20.0,1,יוצאים מהכלל עונה 4 ש.ח,-0.0683240146170528
כאן 11,Other_last_standard,2024-11-26 01:14:00,2024-11-26 01:16:00,120.0,2.0,3,Other,last,standard,2.0,"('כאן 11', '2024-11-26', 1)",20.0,24.0,1,יוצאים מהכלל עונה 4 ש.ח,0.029177614805776658
כאן 11,Other_middle_standard,2024-11-26 01:40:00,2024-11-26 01:41:00,112.0,1.8666666666666667,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-26', 4)",24.0,10.0,1,שלושה שירים שלושה סיפורים ש.ח,0.5707913384269587
כאן 11,Other_last_short,2024-11-26 01:51:00,2024-11-26 01:52:00,85.0,1.4166666666666667,2,Other,last,short,2.0,"('כאן 11', '2024-11-26', 4)",10.0,12.0,1,שלושה שירים שלושה סיפורים ש.ח,0.06961283430904036
כאן 11,Other_first_standard,2024-11-26 02:04:00,2024-11-26 02:06:00,131.0,2.183333333333333,3,Other,first,standard,1.0,"('כאן 11', '2024-11-26', 7)",12.0,18.0,1,חברים מופלאים ש.ח,-0.2138520711129138
